c         1.9080      0.0860  ;Sp2 C carbonyl group                                                    
c1        1.9080      0.2100  ;Sp C                                                                    
c2        1.9080      0.0860  ;Sp2 C                                                                   
c3        1.9080      0.1094  ;Sp3 C                                                                   
ca        1.9080      0.0860  ;Sp2 C in pure aromatic systems                                          
cc        1.9080      0.0860  ;Sp2 carbons in non-pure aromatic systems                                
cd        1.9080      0.0860  ;Sp2 carbons in non-pure aromatic systems, identical to cc               
ce        1.9080      0.0860  ;Inner Sp2 carbons in conjugated systems                                 
cf        1.9080      0.0860  ;Inner Sp2 carbons in conjugated systems, identical to ce                
cg        1.9080      0.2100  ;Inner Sp carbons in conjugated systems                                  
ch        1.9080      0.2100  ;Inner Sp carbons in conjugated systems, identical to cg                 
cp        1.9080      0.0860  ;Head Sp2 C that connect two rings in biphenyl sys.                      
cq        1.9080      0.0860  ;Head Sp2 C that connect two rings in biphenyl sys. identical to cp      
cu        1.9080      0.0860  ;Sp2 carbons in triangle systems                                         
cv        1.9080      0.0860  ;Sp2 carbons in square systems                                           
cx        1.9080      0.0860  ;Sp3 carbons in triangle systems                                         
cy        1.9080      0.0860  ;Sp3 carbons in square systems                                           
cz        1.9080      0.0860  ;Sp2 carbon in guanidine group                                           
n         1.8240      0.1700  ;Sp2 nitrogen in amide groups                                            
ni        1.8240      0.1700  ;n in 3-memberred rings                                                  
nj        1.8240      0.1700  ;n in 4-memberred rings                                                  
n1        1.8240      0.1700  ;Sp N                                                                    
n2        1.8240      0.1700  ;aliphatic Sp2 N with two connected atoms                                
n3        1.8240      0.1700  ;Sp3 N with three connected atoms                                        
np        1.8240      0.1700  ;n3 in 3-memberred rings                                                 
nq        1.8240      0.1700  ;n3 in 4-memberred rings                                                 
n4        1.8240      0.1700  ;Sp3 N with four connected atoms                                         
nk        1.8240      0.1700  ;n4 in 3-memberred rings                                                 
nl        1.8240      0.1700  ;n4 in 4-memberred rings                                                 
na        1.8240      0.1700  ;Sp2 N with three connected atoms                                        
nb        1.8240      0.1700  ;Sp2 N in pure aromatic systems                                          
nc        1.8240      0.1700  ;Sp2 N in non-pure aromatic systems                                      
nd        1.8240      0.1700  ;Sp2 N in non-pure aromatic systems, identical to nc                     
ne        1.8240      0.1700  ;Inner Sp2 N in conjugated systems                                       
nf        1.8240      0.1700  ;Inner Sp2 N in conjugated systems, identical to ne                      
nh        1.8240      0.1700  ;Amine N connected one or more aromatic rings                            
nm        1.8240      0.1700  ;nh in 3-memberred rings                                                 
nn        1.8240      0.1700  ;nh in 4-memberred rings                                                 
no        1.8240      0.1700  ;Nitro N                                                                 
s         2.0000      0.2500  ;S with one connected atom                                               
s2        2.0000      0.2500  ;S with two connected atom, involved at least one double bond            
s4        2.0000      0.2500  ;S with three connected atoms                                            
s6        2.0000      0.2500  ;S with four connected atoms                                             
sx        2.0000      0.2500  ;Special s4 in conjugated systems                                        
sy        2.0000      0.2500  ;Special s6 in conjugated systems                                        
sh        2.0000      0.2500  ;Sp3 S connected with hydrogen                                           
ss        2.0000      0.2500  ;Sp3 S in thio-ester and thio-ether                                      
sp        2.0000      0.2500  ;ss in 3-memberred rings                                                 
sq        2.0000      0.2500  ;ss in 4-memberred rings                                                 
p2        2.1000      0.2000  ;Phosphate with two connected atoms                                      
p3        2.1000      0.2000  ;Phosphate with three connected atoms, such as PH3                       
p4        2.1000      0.2000  ;Phosphate with three connected atoms, such as O=P(CH3)2                 
p5        2.1000      0.2000  ;Phosphate with four connected atoms, such as O=P(OH)3                   
pb        2.1000      0.2000  ;Sp2 P in pure aromatic systems                                          
pc        2.1000      0.2000  ;Sp2 P in non-pure aromatic systems                                      
pd        2.1000      0.2000  ;Sp2 P in non-pure aromatic systems, identical to pc                     
pe        2.1000      0.2000  ;Inner Sp2 P in conjugated systems                                       
pf        2.1000      0.2000  ;Inner Sp2 P in conjugated systems, identical to pe                      
px        2.1000      0.2000  ;Special p4 in conjugated systems                                        
py        2.1000      0.2000  ;Special p5 in conjugated systems                                        
f         1.75        0.061   ;Fluorine                                                                
cl        1.948       0.265   ;Chlorine                                                                
br        2.02        0.420   ;Bromine                                                                 
i         2.15        0.50    ;Iodine                                                                  

;The following ones are AMBER atom types, taken from parm19.dat in AmberTools 21, corresponding to AMBER19SB with parmbsc0 and OL3
H         0.6000      0.0157   ;H bonded to nitrogen atoms                      
HO        0.0000      0.0000   ;hydroxyl group                                  
HS        0.6000      0.0157   ;hydrogen bonded to sulphur (pol?)               
HC        1.4870      0.0157   ;H aliph. bond. to C without electrwd.group      
H1        1.3870      0.0157   ;H aliph. bond. to C with 1 electrwd. group      
H2        1.2870      0.0157   ;H aliph. bond. to C with 2 electrwd. groups      
H3        1.1870      0.0157   ;H aliph. bond. to C with 3 electrwd. groups       
HP        1.1000      0.0157   ;H bonded to C next to positively charged gr     
HA        1.4590      0.0150   ;H arom. bond. to C without elctrwd. groups      
H4        1.4090      0.0150   ;H arom. bond. to C with 1 electrwd. group       
H5        1.3590      0.0150   ;H arom.at C with 2 elctrwd. gr,+HCOO group      
HZ        1.4590      0.0150   ;H bond sp C (Howard et al.JCC,16,243,1995)      
O         1.6612      0.2100   ;carbonyl group oxygen                           
O2        1.6612      0.2100   ;carboxyl and phosphate group oxygen             
OH        1.7210      0.2104   ;oxygen in hydroxyl group                        
OS        1.6837      0.1700   ;ether and ester oxygen                          
OP        1.8500      0.1700   ;2- phosphate oxygen                             
C*        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 subst. (TRP)      
CA        1.9080      0.0860   ;sp2 C pure aromatic (benzene)               
CB        1.9080      0.0860   ;sp2 aromatic C, 5&6 membered ring junction  
CC        1.9080      0.0860   ;sp2 aromatic C, 5 memb. ring HIS            
CD        1.9080      0.0860   ;sp2 C atom in the middle of: C=CD-CD=C      
CK        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (dA,dG)        
CM        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (dT,dC)    
CN        1.9080      0.0860   ;sp2 C aromatic 5&6 memb.ring junct.(TRP)    
CQ        1.9080      0.0860   ;sp2 C in 5 mem.ring of purines between 2 N  
CR        1.9080      0.0860   ;sp2 arom as CQ but in HIS                   
CV        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 N and 1 H (HIS)   
CW        1.9080      0.0860   ;sp2 arom. 5 memb.ring w/1 N-H and 1 H (HIS) 
CY        1.9080      0.0860   ;nitrile C (Howard et al.JCC,16,243,1995)    
CZ        1.9080      0.0860   ;sp C (Howard et al.JCC,16,243,1995)         
CP        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (G)            
CS        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (U)        
CI        1.9080      0.1094   ;parmbsc0                                        
C5        1.9080      0.0860   ;sp2 C 5 memb.ring in purines (A)                
C4        1.9080      0.0860   ;sp2 C  pyrimidines in pos. 5 & 6 (C)            
CT        1.9080      0.1094   ;sp3 aliphatic C                                 
CX        1.9080      0.1094   ;protein C-alpha (new to ff10)                   
XC        1.9080      0.1094   ;protein C-alpha (new to ff19)                   
C         1.9080      0.0860   ;sp2 C carbonyl group                            
N         1.8240      0.1700   ;sp2 nitrogen in amide groups                    
NA        1.8240      0.1700   ;sp2 N in 5 memb.ring w/H atom (HIS)         
N2        1.8240      0.1700   ;sp2 N in amino groups                       
N*        1.8240      0.1700   ;sp2 N                                       
NC        1.8240      0.1700   ;sp2 N in 6 memb.ring w/LP (ADE,GUA)         
NB        1.8240      0.1700   ;sp2 N in 5 memb.ring w/LP (HIS,ADE,GUA)     
NT        1.8240      0.1700   ;sp3 N for amino groups amino groups         
NY        1.8240      0.1700   ;nitrile N (Howard et al.JCC,16,243,1995)    
N3        1.8240      0.1700   ;sp3 N for charged amino groups (Lys, etc)       
S         2.0000      0.2500   ;S in disulfide linkage,pol:JPC,102,2399,98      
SH        2.0000      0.2500   ;S in cystine                                    
P         2.1000      0.2000   ;phosphate,pol:JACS,112,8543,90,K.J.Miller       
MG        0.7926      0.8947   ;magnesium                                       
C0        1.7131      0.459789 ;calcium                                         
Zn        1.10        0.0125   ;Zn2+                                            
F         1.75        0.061    ;fluorine (not fluoride!)                        
Cl        1.948       0.265    ;chlorine  (Applequist) (not chloride!)          
Br        2.22        0.320    ;bromine  (Applequist) (not bromide!)            
I         2.35        0.40     ;iodine   (Applequist) (not iodide!)             
EP        0.00        0.0000   ;extra point                                     
                          
